Nome do Objeto,Variação do Objeto,Dia/Noite,Funções,Ambiente,Fundo,Tamanho (KB),Dimensão (pixels) (Largura x Altura),URL da Imagem
Caneca,1,dia,GrayScale Log Transform,out,11,1486.7,3072 x 4080,https://drive.google.com/uc?id=1cfmip3uR5lQhtSUyI5t8zX5ssSwYqMbj&export=download
Caneca,1,dia,GrayScale Log Transform,in,9,776.33,3072 x 4080,https://drive.google.com/uc?id=1xVSqF3SK6UN7crTJdCbXVpLFhQzRnd0l&export=download
Caneca,1,dia,GrayScale Log Transform,in,8,1097.54,3072 x 4080,https://drive.google.com/uc?id=16Ug46y32nGp6fJsRthcdoIvn5gbTLeBZ&export=download
Caneca,1,dia,GrayScale Log Transform,in,7,1402.57,3072 x 4080,https://drive.google.com/uc?id=1PMeUbCxxO083dJVdtmf9HY-vmDj-IVqJ&export=download
Caneca,1,noite,Original,in,7,1517.98,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo7.jpg
Caneca,1,noite,Original,in,8,2473.94,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo8.jpg
Caneca,1,noite,Original,in,9,1436.16,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-in-fundo9.jpg
Caneca,1,noite,Original,out,12,2417.65,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo12.jpg
Caneca,1,noite,Original,out,14,2284.59,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo14.jpg
Caneca,1,noite,Original,out,15,3718.71,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-noite-out-fundo15.jpg
Caneca,1,noite,GrayScale,in,7,422.86,4080 x 3072,https://drive.google.com/uc?id=1JAmSfjfaqVCwiCbs6oinn0YXcZDr4DJ9&export=download
Caneca,1,noite,GrayScale,in,8,802.23,4080 x 3072,https://drive.google.com/uc?id=14dmtWb3FMYyLQZC-A1Z-Xxys9N5-16Fc&export=download
Caneca,1,noite,GrayScale,in,9,296.1,4080 x 3072,https://drive.google.com/uc?id=1TEqz6lncXFfOjzysY3dzPcXhVZHZDIbs&export=download
Caneca,1,noite,GrayScale,out,12,708.62,4080 x 3072,https://drive.google.com/uc?id=1_GcKM-NB5M3Acg0INJSGNDyOwsgYRwvR&export=download
Caneca,1,noite,GrayScale,out,14,579.57,4080 x 3072,https://drive.google.com/uc?id=1kBpFmIqmKQFFZP9TkUALuxDaeQSZIfF5&export=download
Caneca,1,noite,GrayScale,out,15,1237.13,4080 x 3072,https://drive.google.com/uc?id=1l52ppV6wCFU6bife6Seq3t8J5Ot56evG&export=download
Caneca,1,noite,Gradiente GrayScale,out,15,1909.54,3072 x 4080,https://drive.google.com/uc?id=1dwk07G9wnTGnUsraVVznDKb7osTTHjJV&export=download
Caneca,1,noite,Gradiente GrayScale,out,12,1129.33,3072 x 4080,https://drive.google.com/uc?id=1ZRKz_LmvaJSHg1ZgY-YftEbC9aBqtuEw&export=download
Caneca,1,noite,Gradiente GrayScale,out,14,1080.25,3072 x 4080,https://drive.google.com/uc?id=1w7Mtswl0cjpkok5PD77n1bsfBE7TGfH5&export=download
Caneca,1,noite,Gradiente GrayScale,in,8,1353.56,3072 x 4080,https://drive.google.com/uc?id=1PiCZ1-FhEVpiqri7WQzd5VUfru5v143K&export=download
Caneca,1,noite,Gradiente GrayScale,in,9,456.64,3072 x 4080,https://drive.google.com/uc?id=1oogYws-rhxK0psdbVnnVIhqnariRmgBW&export=download
Caneca,1,noite,Gradiente GrayScale,in,7,598.91,3072 x 4080,https://drive.google.com/uc?id=1Wha7ZhNe_0mUmXsokT8EKJwmNYuGzQj-&export=download
Caneca,1,noite,GrayScale Mean Filter,out,15,1723.26,3072 x 4080,https://drive.google.com/uc?id=1iqqNqv-tIs_iiKtOTvcbW-uSusLh_E9U&export=download
Caneca,1,noite,GrayScale Mean Filter,out,14,1119.41,3072 x 4080,https://drive.google.com/uc?id=1yG5oUBA81I0UDZ0mRimALVrSObneILJk&export=download
Caneca,1,noite,GrayScale Mean Filter,out,12,1390.73,3072 x 4080,https://drive.google.com/uc?id=1vCbqbHt_u9LtfibbApRVf0DkyCLfRkIH&export=download
Caneca,1,noite,GrayScale Mean Filter,in,9,674.91,3072 x 4080,https://drive.google.com/uc?id=16qLwtPnR_2PTm-oiN4boLGk7OmpmDDtl&export=download
Caneca,1,noite,GrayScale Mean Filter,in,8,1375.65,3072 x 4080,https://drive.google.com/uc?id=1H6jPdo9W8TwRcs5xF7KiiZXAgvwlCZGF&export=download
Caneca,1,noite,GrayScale Mean Filter,in,7,1007.99,3072 x 4080,https://drive.google.com/uc?id=1bFdHWP9vW0HedJvqjg_4f2glR7v-rKGV&export=download
Caneca,1,noite,GrayScale Exponential Transform,out,15,2470.98,3072 x 4080,https://drive.google.com/uc?id=1llhzcJGoAXeBB4jDK_8ewvbM_M3HrfMG&export=download
Caneca,1,noite,GrayScale Exponential Transform,out,14,1130.9,3072 x 4080,https://drive.google.com/uc?id=1LMaIqqW4Dr-dglASUiL1ywzVbtZz1iJO&export=download
Caneca,1,noite,GrayScale Exponential Transform,out,12,1411.63,3072 x 4080,https://drive.google.com/uc?id=1awgiX1zJftAG43tWcQRP-3oTCut6BNkD&export=download
Caneca,1,noite,GrayScale Exponential Transform,in,9,621.09,3072 x 4080,https://drive.google.com/uc?id=1_OHXKzsVWedvAEHYXzNdoAFA5_G-QFDs&export=download
Caneca,1,noite,GrayScale Exponential Transform,in,8,1591.48,3072 x 4080,https://drive.google.com/uc?id=1p8EzXyDLdzPD4hK3oQovpaCUgcqhLHCB&export=download
Caneca,1,noite,GrayScale Exponential Transform,in,7,937.12,3072 x 4080,https://drive.google.com/uc?id=1RAGmUOTRpfc5SmzMuHCFT4u4ZyD1oT0Z&export=download
Caneca,1,noite,GrayScale Log Transform,out,15,2433.97,3072 x 4080,https://drive.google.com/uc?id=14ElNlQs5j0W3nYCRiETBD_IjwsfH9Ux1&export=download
Caneca,1,noite,GrayScale Log Transform,out,14,1314.99,3072 x 4080,https://drive.google.com/uc?id=1vqv2YiQVDqIi31iKNaUQ9CXnCeQWe4wz&export=download
Caneca,1,noite,GrayScale Log Transform,out,12,1467.79,3072 x 4080,https://drive.google.com/uc?id=1NNmxyJIp9D91WoN2dbOTbKLWVZX9b21q&export=download
Caneca,1,noite,GrayScale Log Transform,in,9,580.61,3072 x 4080,https://drive.google.com/uc?id=13kBxJA3F_nRTkdzSYLwaqMs3_tMrxWk6&export=download
Caneca,1,noite,GrayScale Log Transform,in,8,1614.57,3072 x 4080,https://drive.google.com/uc?id=1xoeK36nZVZXjCveYl3vtpD7NaCHwl5Yd&export=download
Caneca,1,noite,GrayScale Log Transform,in,7,846.33,3072 x 4080,https://drive.google.com/uc?id=1brLusxyXhASna0FxDgpRlPx14T8OV2BT&export=download
Caneca,2,dia,Original,in,7,1921.53,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo7.jpg
Caneca,2,dia,Original,in,8,2045.36,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo8.jpg
Caneca,2,dia,Original,in,9,1587.42,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-in-fundo9.jpg
Caneca,2,dia,Original,out,11,2763.03,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo11.jpg
Caneca,2,dia,Original,out,12,2854.79,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo12.jpg
Caneca,2,dia,Original,out,13,3066.45,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-dia-out-fundo13.jpg
Caneca,2,dia,GrayScale,in,7,460.32,4080 x 3072,https://drive.google.com/uc?id=1nSLTeLn9ShMbnmuIkFU5Fl9V4BJQ_MLW&export=download
Caneca,2,dia,GrayScale,in,8,520.04,4080 x 3072,https://drive.google.com/uc?id=1vc7HMOFGoy0ZmPRJ7Ml6o0zfO8TP8AUG&export=download
Caneca,2,dia,GrayScale,in,9,326.99,4080 x 3072,https://drive.google.com/uc?id=1D8Rlr2n5-_ttBCDy_Hhn71_CTamVpqwG&export=download
Caneca,2,dia,GrayScale,out,11,857.36,4080 x 3072,https://drive.google.com/uc?id=1_vgzCD9LNkEwmOHj3qohop3IxFystsmO&export=download
Caneca,2,dia,GrayScale,out,12,855.73,4080 x 3072,https://drive.google.com/uc?id=152vtsNF_3EglZsEVJxZQ2v5TL9YrTDIq&export=download
Caneca,2,dia,GrayScale,out,13,925.32,4080 x 3072,https://drive.google.com/uc?id=1nYgNtoSTuYO3-0ncP5OTFJv-yzs22hLj&export=download
Caneca,2,dia,Gradiente GrayScale,out,12,1325.04,3072 x 4080,https://drive.google.com/uc?id=1Jhtj-8uL-FmV0a-Wr02NJQHGOIUQPJ44&export=download
Caneca,2,dia,Gradiente GrayScale,out,11,1291.77,3072 x 4080,https://drive.google.com/uc?id=1ZUFu3FTX7r567bMVs_YDByz-5kMyYv6L&export=download
Caneca,2,dia,Gradiente GrayScale,out,13,1638.55,3072 x 4080,https://drive.google.com/uc?id=15n0Ity4pc828w5FzVc53StZ0bwgw4ozk&export=download
Caneca,2,dia,Gradiente GrayScale,in,9,571.29,3072 x 4080,https://drive.google.com/uc?id=1mwqK-NXb5UpDo-t42yM5OfYal7cURHao&export=download
Caneca,2,dia,Gradiente GrayScale,in,8,892.62,3072 x 4080,https://drive.google.com/uc?id=1w4kl8cOKVFpndGazkOSovJY6cVayQhwQ&export=download
Caneca,2,dia,Gradiente GrayScale,in,7,730.02,3072 x 4080,https://drive.google.com/uc?id=1hcmyX2eAttq-fd-vomM1xvX8TISiC08E&export=download
Caneca,2,dia,GrayScale Mean Filter,out,13,1346.55,3072 x 4080,https://drive.google.com/uc?id=1-ViCBGXUz4KFwlJ1b6JphaRudVf05_O_&export=download
Caneca,2,dia,GrayScale Mean Filter,out,12,1237.04,3072 x 4080,https://drive.google.com/uc?id=146w-Hzp5twtpGqIKHVQdUulPB3x2IXAb&export=download
Caneca,2,dia,GrayScale Mean Filter,out,11,1483.16,3072 x 4080,https://drive.google.com/uc?id=1qIlceeeUZla5DArWxTZnVejm8fnnRfhv&export=download
Caneca,2,dia,GrayScale Mean Filter,in,9,687.23,3072 x 4080,https://drive.google.com/uc?id=1knLliI3El03DPGfuEiui_B_wlQXNuu7R&export=download
Caneca,2,dia,GrayScale Mean Filter,in,8,1038.79,3072 x 4080,https://drive.google.com/uc?id=14K-obshfHwNm03JB7q9L5xx3rCmywjjn&export=download
Caneca,2,dia,GrayScale Mean Filter,in,7,915.59,3072 x 4080,https://drive.google.com/uc?id=1LuDUfuqENBcYBCDWiUJ5andJ9bCGZh9E&export=download
Caneca,2,dia,GrayScale Exponential Transform,out,13,1747.0,3072 x 4080,https://drive.google.com/uc?id=1KPgS8K0wVcwnMN2K3Q0k_Q9nn_jnPds2&export=download
Caneca,2,dia,GrayScale Exponential Transform,out,12,1852.06,3072 x 4080,https://drive.google.com/uc?id=1VxNV32CBf0m2bvWX7sb8VDxT57it1ns8&export=download
Caneca,2,dia,GrayScale Exponential Transform,out,11,1766.12,3072 x 4080,https://drive.google.com/uc?id=1A8UliDY5Gu8ZGU4XMl5ZpBe4P-USMtWf&export=download
Caneca,2,dia,GrayScale Exponential Transform,in,9,672.26,3072 x 4080,https://drive.google.com/uc?id=1Ay3P-0UetzDhWgH8_jlP5CJmfVb_8YSm&export=download
Caneca,2,dia,GrayScale Exponential Transform,in,8,1096.02,3072 x 4080,https://drive.google.com/uc?id=1DCOLOngwaJSiZT5j5yLH39T1OZ38RCyi&export=download
Caneca,2,dia,GrayScale Exponential Transform,in,7,990.21,3072 x 4080,https://drive.google.com/uc?id=1BGbUx3C4y8V8AHX5lSh694U1cuoqovS0&export=download
Caneca,2,dia,GrayScale Log Transform,out,13,1923.5,3072 x 4080,https://drive.google.com/uc?id=1pIk1bsis-N52eyGBtDmdPKiSTuTxHTfP&export=download
Caneca,2,dia,GrayScale Log Transform,out,12,1697.31,3072 x 4080,https://drive.google.com/uc?id=1D8P73QJzECqyZJeRqPwCrl9n4VYuMEec&export=download
Caneca,2,dia,GrayScale Log Transform,out,11,1672.97,3072 x 4080,https://drive.google.com/uc?id=1tPvKRQgQh3wvJ8nDDxww_yka5HoLryxr&export=download
Caneca,2,dia,GrayScale Log Transform,in,9,652.01,3072 x 4080,https://drive.google.com/uc?id=1TaBYpEoSfoVDCwY7kV1PTF1wXc_1qPL5&export=download
Caneca,2,dia,GrayScale Log Transform,in,8,1070.63,3072 x 4080,https://drive.google.com/uc?id=15Qycw3DW-lC18lWsejqLq86e5ZAOn3uK&export=download
Caneca,2,dia,GrayScale Log Transform,in,7,902.73,3072 x 4080,https://drive.google.com/uc?id=1WDrpsrqZ7efgRAbvaP8Ua9or5xD78v0O&export=download
Caneca,2,noite,Original,in,7,2789.97,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo7.jpg
Caneca,2,noite,Original,in,8,3234.07,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo8.jpg
Caneca,2,noite,Original,in,9,1963.21,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-in-fundo9.jpg
Caneca,2,noite,Original,out,12,2430.92,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo12.jpg
Caneca,2,noite,Original,out,14,2130.18,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo14.jpg
Caneca,2,noite,Original,out,15,3063.42,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca2-noite-out-fundo15.jpg
Caneca,2,noite,GrayScale,in,7,812.36,4080 x 3072,https://drive.google.com/uc?id=1Iy6-IxBj_9eag2tZ3bX9N9_aItUClYjT&export=download
Caneca,2,noite,GrayScale,in,8,1055.59,4080 x 3072,https://drive.google.com/uc?id=1JJOs1qcrOavMgi06skNtIu34wbUzLDMK&export=download
Caneca,2,noite,GrayScale,in,9,459.05,4080 x 3072,https://drive.google.com/uc?id=107sqh6tkm9aKHwD7SstrallsDSJPd0ij&export=download
Caneca,2,noite,GrayScale,out,12,731.66,4080 x 3072,https://drive.google.com/uc?id=1lRxDQIbnkuIqJ25Pszz_yZHdqF-HtLrX&export=download
Caneca,2,noite,GrayScale,out,14,498.88,4080 x 3072,https://drive.google.com/uc?id=1jhSiLFyAp3kVCBz9cUvhVcDziyaNtECq&export=download
Caneca,2,noite,GrayScale,out,15,990.01,4080 x 3072,https://drive.google.com/uc?id=10xLtutCtMcAZfMBVZm1ZKnlfPOCaeQc7&export=download
Caneca,2,noite,Gradiente GrayScale,out,15,1617.89,3072 x 4080,https://drive.google.com/uc?id=1mcivx_6jzFoUr560w6jb7uueOwyhRGGx&export=download
Caneca,2,noite,Gradiente GrayScale,out,14,907.85,3072 x 4080,https://drive.google.com/uc?id=1CkssPuv-28f2b0pQu4rUXExy_t1UrEm-&export=download
Caneca,2,noite,Gradiente GrayScale,out,12,1143.84,3072 x 4080,https://drive.google.com/uc?id=131c_2_m9bkNOqY_BKPVKbTBrJf0ZXa8F&export=download
Caneca,2,noite,Gradiente GrayScale,in,9,712.56,3072 x 4080,https://drive.google.com/uc?id=1T4gzpxo91Ld--QyZZ6i1xP1NKy8n8-mh&export=download
Caneca,2,noite,Gradiente GrayScale,in,8,1648.69,3072 x 4080,https://drive.google.com/uc?id=1XmLR7sIz1PMiF2ig6Rljl8lvc6qbSXI8&export=download
Caneca,2,noite,Gradiente GrayScale,in,7,1339.95,3072 x 4080,https://drive.google.com/uc?id=1fJsxDw4Sqt8PjXlA6QvQyApWOkpafsJB&export=download
Caneca,2,noite,GrayScale Mean Filter,out,15,1500.5,3072 x 4080,https://drive.google.com/uc?id=1b_YPya2QrWjdhdRomm_gDtEXvG6P-B-1&export=download
Caneca,2,noite,GrayScale Mean Filter,out,14,1008.44,3072 x 4080,https://drive.google.com/uc?id=1C-QcyIc4d-TPujriN9a1ZE9Zv1hzgSdc&export=download
Caneca,2,noite,GrayScale Mean Filter,out,12,1461.74,3072 x 4080,https://drive.google.com/uc?id=1v1_WlNJX_eCNhfiB_QZO3-srNI54V8A9&export=download
Caneca,2,noite,GrayScale Mean Filter,in,9,870.37,3072 x 4080,https://drive.google.com/uc?id=1qwHWeoADL7MOOQlXqH9H1qq8O80ZYyt4&export=download
Caneca,2,noite,GrayScale Mean Filter,in,8,1529.94,3072 x 4080,https://drive.google.com/uc?id=1feQoVWrXFOneHTnuYvg2NJmrEl3JnBBz&export=download
Caneca,2,noite,GrayScale Mean Filter,in,7,1229.86,3072 x 4080,https://drive.google.com/uc?id=1NapdbEJDI5s_YniTWdeMvvQxUdUjl1SW&export=download
Caneca,2,noite,GrayScale Exponential Transform,out,15,2015.49,3072 x 4080,https://drive.google.com/uc?id=1HCtSGvXpa3UWH4lFb8D-Uqab8DStFais&export=download
Caneca,2,noite,GrayScale Exponential Transform,out,14,1023.82,3072 x 4080,https://drive.google.com/uc?id=1GGw_z8_llYyi5vk1PZ3jDWI6G9FGVUd5&export=download
Caneca,2,noite,GrayScale Exponential Transform,out,12,1473.32,3072 x 4080,https://drive.google.com/uc?id=1VMTRdq4FajRFPafAYiZddysNDD9-3FK5&export=download
Caneca,2,noite,GrayScale Exponential Transform,in,9,992.91,3072 x 4080,https://drive.google.com/uc?id=1l62P6t4r5cimkBFto-g7rVrMAhp8L7_e&export=download
Caneca,2,noite,GrayScale Exponential Transform,in,8,2119.63,3072 x 4080,https://drive.google.com/uc?id=1gplfEf8qOvGc4-m5UI0foFQEWsacK3tp&export=download
Caneca,2,noite,GrayScale Exponential Transform,in,7,1681.6,3072 x 4080,https://drive.google.com/uc?id=1psIT_b0ermStIh9w-2vu8Ld4bwEtVwTX&export=download
Caneca,2,noite,GrayScale Log Transform,out,15,1973.4,3072 x 4080,https://drive.google.com/uc?id=1tgVzu53oW5cjGuJ3ZrPPm2rmR_UjTMTk&export=download
Caneca,2,noite,GrayScale Log Transform,out,14,1127.67,3072 x 4080,https://drive.google.com/uc?id=1Ur-Yh51tQOVSSZCkp2eEOcQqMb5svaZ-&export=download
Caneca,2,noite,GrayScale Log Transform,out,12,1506.57,3072 x 4080,https://drive.google.com/uc?id=1jXbf5S91Bp4jZ4BEKF4issK6guqMHtEA&export=download
Caneca,2,noite,GrayScale Log Transform,in,9,927.69,3072 x 4080,https://drive.google.com/uc?id=1Ez6KLdmfi_AX0OlM8EBYKXa--orlUCWH&export=download
Caneca,2,noite,GrayScale Log Transform,in,8,2078.05,3072 x 4080,https://drive.google.com/uc?id=1uefPaYu1Gcd3vTcu1JsnLjLlQYdISzNr&export=download
Caneca,2,noite,GrayScale Log Transform,in,7,1603.22,3072 x 4080,https://drive.google.com/uc?id=1Ss9rMEBjng0nNgGUGob_87Mgqh0AqEI_&export=download
Caneca,3,dia,Original,in,2,2000.18,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo2.jpg
Caneca,3,dia,Original,in,7,1970.57,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo7.jpg
Caneca,3,dia,Original,in,9,2045.52,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-in-fundo9.jpg
Caneca,3,dia,Original,out,11,2677.02,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-out-fundo11.jpg
Caneca,3,dia,Original,out,12,2425.1,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-out-fundo12.jpg
Caneca,3,dia,Original,out,13,3019.54,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca3-dia-out-fundo13.jpg
Caneca,3,dia,GrayScale,in,2,504.8,4080 x 3072,https://drive.google.com/uc?id=1v3FOn3OeeEJm_Fs0Ced9xjp6StRztXbO&export=download
Caneca,3,dia,GrayScale,in,7,485.0,4080 x 3072,https://drive.google.com/uc?id=1Fu-mbJ_rWtRJ48UJbKEprmmArdfsveks&export=download
Caneca,3,dia,GrayScale,in,9,487.79,4080 x 3072,https://drive.google.com/uc?id=18aaIOp8L5vZW2P7wT5ozhScdhB4NBDHp&export=download
Caneca,3,dia,GrayScale,out,11,729.71,4080 x 3072,https://drive.google.com/uc?id=1diKK0QxGNEbq-dDOtbVSyskjiphfy7Ub&export=download
Caneca,3,dia,GrayScale,out,12,647.83,4080 x 3072,https://drive.google.com/uc?id=1qO-d1E_ORNzpadqtKHSxoUjWrEv3yCsm&export=download
Caneca,3,dia,GrayScale,out,13,892.22,4080 x 3072,https://drive.google.com/uc?id=1ROVe_nyYTP4_uXKe0Dqdflt4SG6kekXZ&export=download
